"","Iteration","Seconds"
"1308","Final",2337
"1309","Final",2434
"1310","Final",2389
"1311","Final",2704
"1312","Final",2174
"1313","Final",2563
"1314","Final",2362
"1315","Final",2215
"1316","Final",2291
"1317","Final",2490
"1318","Final",2311
"1319","Final",2351
"1320","Final",2377
"1321","Final",2123
"1322","Final",2217
"1323","Final",2010
"1324","Final",2353
"1325","Final",2423
"1326","Final",2497
"1327","Final",2489
"1328","Final",2301
"1329","Final",2495
"1330","Final",2607
"1331","Final",1910
"1332","Final",2452
"1333","Final",2582
"1334","Final",2490
"1335","Final",2303
"1336","Final",2669
"1337","Final",1988
"1338","Final",1883
"1339","Final",2118
"1340","Final",2127
"1341","Final",2459
"1342","Final",1913
"1343","Final",1940
"1344","Final",2480
"1345","Final",2278
"1346","Final",1938
"1347","Final",2064
"1348","Final",2375
"1349","Final",1888
"1350","Final",2664
"1351","Final",2483
"1352","Final",2260
"1353","Final",2328
"1354","Final",2097
"1355","Final",2011
"1356","Final",2045
"1357","Final",1905
"1358","Final",2624
"1359","Final",2280
"1360","Final",2375
"1361","Final",2309
"1362","Final",2439
"1363","Final",2063
"1364","Final",1727
"1365","Final",2523
"1366","Final",2669
"1367","Final",2266
"1368","Final",2223
"1369","Final",2266
"1370","Final",2664
"1371","Final",2250
